Title,Implementation,Published
"<a target=""_blank"" href=""http://arxiv.org/pdf/2309.09765v1"">Localization-Guided Track: A Deep Association Multi-Object Tracking Framework Based on Localization Confidence of Detections</a>","<a target=""_blank"" href=""https://github.com/mengting2023/lg-track"">CODE</a>",2023-09-18
"<a target=""_blank"" href=""http://arxiv.org/pdf/2309.02666v1"">Fast and Resource-Efficient Object Tracking on Edge Devices: A Measurement Study</a>","<a target=""_blank"" href=""https://github.com/git-disl/emo"">CODE</a>",2023-09-06
"<a target=""_blank"" href=""http://arxiv.org/pdf/2308.11157v1"">TOPIC: A Parallel Association Paradigm for Multi-Object Tracking under Complex Motions and Diverse Scenes</a>","<a target=""_blank"" href=""https://github.com/holmescao/TOPICTrack"">CODE</a>",2023-08-22
"<a target=""_blank"" href=""http://arxiv.org/pdf/2308.09905v1"">DiffusionTrack: Diffusion Model For Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/rainbowluocs/diffusiontrack"">CODE</a>",2023-08-19
"<a target=""_blank"" href=""http://arxiv.org/pdf/2308.00783v1"">Hybrid-SORT: Weak Cues Matter for Online Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/mikel-brostrom/yolo_tracking"">CODE</a>",2023-08-01
"<a target=""_blank"" href=""http://arxiv.org/pdf/2307.16675v1"">Poly-MOT: A Polyhedral Framework For 3D Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/lixiaoyu2000/Poly-MOT"">CODE</a>",2023-07-31
"<a target=""_blank"" href=""http://arxiv.org/pdf/2306.13518v2"">Segmentation and Tracking of Vegetable Plants by Exploiting Vegetable Shape Feature for Precision Spray of Agricultural Robots</a>","<a target=""_blank"" href=""https://github.com/nanh5837/lettucemots"">CODE</a>",2023-06-23
"<a target=""_blank"" href=""http://arxiv.org/pdf/2306.05238v1"">SparseTrack: Multi-Object Tracking by Performing Scene Decomposition based on Pseudo-Depth</a>","<a target=""_blank"" href=""https://github.com/hustvl/sparsetrack"">CODE</a>",2023-06-08
"<a target=""_blank"" href=""http://arxiv.org/pdf/2305.16557v1"">Tree-Based Diffusion Schrödinger Bridge with Applications to Wasserstein Barycenters</a>","<a target=""_blank"" href=""https://github.com/maxencenoble/tree-diffusion-schrodinger-bridge"">CODE</a>",2023-05-26
"<a target=""_blank"" href=""http://arxiv.org/pdf/2305.15842v1"">Text-to-Motion Retrieval: Towards Joint Understanding of Human Motion Data and Natural Language</a>","<a target=""_blank"" href=""https://github.com/mesnico/text-to-motion-retrieval"">CODE</a>",2023-05-25
"<a target=""_blank"" href=""http://arxiv.org/pdf/2305.12724v1"">Bridging the Gap Between End-to-end and Non-End-to-end Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/bingfengyan/visam"">CODE</a>",2023-05-22
"<a target=""_blank"" href=""http://arxiv.org/pdf/2305.05181v1"">MoT: Pre-thinking and Recalling Enable ChatGPT to Self-Improve with Memory-of-Thoughts</a>","<a target=""_blank"" href=""https://github.com/leesureman/mot"">CODE</a>",2023-05-09
"<a target=""_blank"" href=""http://arxiv.org/pdf/2305.03828v2"">A Race Track Trapped-Ion Quantum Processor</a>","<a target=""_blank"" href=""https://github.com/cqcl/quantinuum-hardware-h2-benchmark"">CODE</a>",2023-05-05
"<a target=""_blank"" href=""http://arxiv.org/pdf/2304.08709v1"">You Only Need Two Detectors to Achieve Multi-Modal 3D Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/wangxiyang2022/YONTD-MOT"">CODE</a>",2023-04-18
"<a target=""_blank"" href=""http://arxiv.org/pdf/2304.06114v1"">TopTrack: Tracking Objects By Their Top</a>","<a target=""_blank"" href=""https://github.com/toptrack/toptrack2023"">CODE</a>",2023-04-12
"<a target=""_blank"" href=""http://arxiv.org/pdf/2304.05170v2"">SportsMOT: A Large Multi-Object Tracking Dataset in Multiple Sports Scenes</a>","<a target=""_blank"" href=""https://github.com/MCG-NJU/SportsMOT"">CODE</a>",2023-04-11
"<a target=""_blank"" href=""http://arxiv.org/pdf/2304.01340v1"">A Scale-Invariant Trajectory Simplification Method for Efficient Data Collection in Videos</a>","<a target=""_blank"" href=""https://github.com/foreveryounggithub/trajectory-simplify-benchmark"">CODE</a>",2023-04-03
"<a target=""_blank"" href=""http://arxiv.org/pdf/2303.15414v1"">Learnable Graph Matching: A Practical Paradigm for Data Association</a>","<a target=""_blank"" href=""https://github.com/jiaweihe1996/GMTracker"">CODE</a>",2023-03-27
"<a target=""_blank"" href=""http://arxiv.org/pdf/2302.14807v1"">DFR-FastMOT: Detection Failure Resistant Tracker for Fast Multi-Object Tracking Based on Sensor Fusion</a>","<a target=""_blank"" href=""https://github.com/mohamednagymostafa/kitti-mot.bench-evals"">CODE</a>",2023-02-28
"<a target=""_blank"" href=""http://arxiv.org/pdf/2302.11813v1"">Deep OC-SORT: Multi-Pedestrian Tracking by Adaptive Re-Identification</a>","<a target=""_blank"" href=""https://github.com/mikel-brostrom/yolo_tracking"">CODE</a>",2023-02-23
"<a target=""_blank"" href=""http://arxiv.org/pdf/2302.10645v1"">BrackishMOT: The Brackish Multi-Object Tracking Dataset</a>","<a target=""_blank"" href=""https://github.com/daniellehot/Underwater-Fish-Environment"">CODE</a>",2023-02-21
"<a target=""_blank"" href=""http://arxiv.org/pdf/2212.05861v2"">CountingMOT: Joint Counting, Detection and Re-Identification for Multiple Object Tracking</a>","<a target=""_blank"" href=""https://github.com/weihong9/countingmot"">CODE</a>",2022-12-12
"<a target=""_blank"" href=""http://arxiv.org/pdf/2211.08824v3"">SMILEtrack: SiMIlarity LEarning for Occlusion-Aware Multiple Object Tracking</a>","<a target=""_blank"" href=""https://github.com/WWangYuHsiang/SMILEtrack"">CODE</a>",2022-11-16
